,country,count,points
0,Argentina,3800,86.7
1,Armenia,2,87.5
2,Australia,2329,88.6
3,Austria,3345,90.1
4,Bosnia and Herzegovina,2,86.5
5,Brazil,52,84.7
6,Bulgaria,141,87.9
7,Canada,257,89.4
8,Chile,4472,86.5
9,China,1,89.0
10,Croatia,73,87.2
11,Cyprus,11,87.2
12,Czech Republic,12,87.2
13,Egypt,1,84.0
14,England,74,91.6
15,France,22093,88.8
16,Georgia,86,87.7
17,Germany,2165,89.9
18,Greece,466,87.3
19,Hungary,146,89.2
20,India,9,90.2
21,Israel,505,88.5
22,Italy,19540,88.6
23,Lebanon,35,87.7
24,Luxembourg,6,88.7
25,Macedonia,12,86.8
26,Mexico,70,85.3
27,Moldova,59,87.2
28,Morocco,28,88.6
29,New Zealand,1419,88.3
30,Peru,16,83.6
31,Portugal,5691,88.3
32,Romania,120,86.4
33,Serbia,12,87.5
34,Slovakia,1,87.0
35,Slovenia,87,88.1
36,South Africa,1401,88.1
37,Spain,6645,87.3
38,Switzerland,7,88.6
39,Turkey,90,88.1
40,US,54504,88.6
41,Ukraine,14,84.1
42,Uruguay,109,86.8
